Date,Open,High,Low,Close,Adj Close,Volume
2021-10-07,203500.0,212000.0,202000.0,209000.0,182267.515625,3846416
2021-10-14,210500.0,212000.0,205000.0,207500.0,180959.40625,2814399
2021-10-21,207000.0,215000.0,206000.0,210000.0,183139.640625,3035733
2021-10-28,211500.0,216000.0,206500.0,214000.0,186628.015625,3078962
2021-11-04,216500.0,217000.0,203500.0,205000.0,178779.15625,3229536
2021-11-11,205000.0,210000.0,203000.0,205000.0,178779.15625,2585765
2021-11-18,211500.0,220000.0,207500.0,210000.0,183139.640625,4334846
2021-11-25,209500.0,210000.0,194500.0,205500.0,179215.203125,4640922
2021-12-02,205500.0,211000.0,202500.0,207000.0,180523.34375,2797753
2021-12-09,207000.0,214000.0,205500.0,209500.0,182703.59375,2714415
2021-12-16,208500.0,211500.0,204000.0,209000.0,182267.515625,2568375
2021-12-23,210500.0,217000.0,208500.0,209000.0,182267.515625,3675560
2021-12-30,209000.0,217500.0,208500.0,214000.0,190182.828125,3010582
2022-01-06,214500.0,216500.0,209000.0,210000.0,186628.015625,2773893
2022-01-13,209500.0,211000.0,199500.0,202000.0,179518.359375,2688336
2022-01-20,199500.0,201000.0,185500.0,186500.0,165743.4375,3419737
2022-01-27,186500.0,195500.0,186500.0,191500.0,170186.96875,837241
2022-02-03,190500.0,192000.0,182500.0,185500.0,164854.734375,2947581
2022-02-10,183000.0,186000.0,176000.0,183500.0,163077.328125,4673099
2022-02-17,181000.0,184000.0,171000.0,173000.0,153745.921875,2148616
2022-02-24,175000.0,179000.0,169500.0,177500.0,157745.109375,3578234
2022-03-03,177500.0,177500.0,163500.0,168000.0,149302.40625,2167723
2022-03-10,168000.0,168000.0,163000.0,164500.0,146191.9375,1112790
2022-03-17,171500.0,177500.0,169000.0,176000.0,156412.046875,3611021
2022-03-24,176500.0,183000.0,171000.0,180500.0,160411.203125,3227126
2022-03-31,178000.0,182000.0,174500.0,178500.0,158633.828125,2826125
2022-04-07,178000.0,182000.0,175500.0,177500.0,157745.109375,3123291
2022-04-14,176500.0,184500.0,175500.0,183000.0,162632.984375,2930398
2022-04-21,181500.0,191000.0,176500.0,188500.0,167520.859375,6528114
2022-04-28,187000.0,188000.0,182000.0,184000.0,163521.65625,2273619
2022-05-05,181500.0,184500.0,176000.0,180500.0,160411.203125,3070020
2022-05-12,182000.0,189500.0,181000.0,182000.0,161744.265625,3086142
2022-05-19,183500.0,189000.0,182000.0,184000.0,163521.65625,2247695
2022-05-26,186500.0,189500.0,184500.0,187500.0,166632.15625,2007926
2022-06-02,188500.0,189000.0,180500.0,182500.0,162188.625,2234380
2022-06-09,181500.0,185000.0,169000.0,173000.0,153745.921875,4501644
2022-06-16,168000.0,175000.0,168000.0,171000.0,151968.515625,3276527
2022-06-23,170500.0,189000.0,170500.0,180500.0,160411.203125,7037822
2022-06-30,181500.0,185000.0,172000.0,175000.0,156364.0,4480511
2022-07-07,177500.0,185000.0,177000.0,182500.0,163065.3125,3746457
2022-07-14,183000.0,193500.0,178500.0,189000.0,168873.125,5459801
2022-07-21,191000.0,198500.0,188000.0,195000.0,174234.15625,4832253
2022-07-28,196000.0,198500.0,193500.0,196500.0,175574.4375,3472712
2022-08-04,196000.0,197500.0,191000.0,193000.0,172447.15625,3759373
2022-08-11,193500.0,199500.0,184000.0,186000.0,166192.59375,3981910
2022-08-18,187000.0,193000.0,185500.0,192000.0,171553.65625,3277692
2022-08-25,192500.0,197500.0,186500.0,195500.0,174680.953125,3514426
2022-09-01,199000.0,203500.0,196000.0,200000.0,178701.71875,4499340
2022-09-08,200000.0,201500.0,196000.0,198000.0,176914.703125,1983896
2022-09-15,199500.0,202500.0,192500.0,193500.0,172893.90625,3460427
2022-09-22,194000.0,195500.0,177500.0,181500.0,162171.796875,5059223
2022-09-29,181000.0,184000.0,172000.0,178000.0,159044.53125,3592086
2022-10-06,176500.0,176500.0,164500.0,164500.0,146982.140625,3267115
2022-10-13,167000.0,172500.0,164000.0,168500.0,150556.1875,4413367
2022-10-20,169000.0,169500.0,160000.0,162000.0,144748.390625,5007959
2022-10-27,162000.0,166500.0,160500.0,162000.0,144748.390625,3953099
2022-11-03,162000.0,173000.0,161500.0,169500.0,151449.703125,4425870
2022-11-10,174500.0,179500.0,169500.0,170000.0,151896.453125,4343998
2022-11-17,170000.0,173000.0,164000.0,167500.0,149662.703125,2304219
2022-11-24,168000.0,173000.0,164000.0,171500.0,153236.703125,2382346
2022-12-01,172000.0,172500.0,161000.0,162000.0,144748.390625,2759669
2022-12-08,163500.0,165000.0,158000.0,162000.0,144748.390625,2451695
2022-12-15,160000.0,163000.0,154500.0,158500.0,141621.109375,3205281
